ID;Formula;Compound Name;A;B;C;TMIN;TMAX
661;C18H38;octadecane;7;1894;143;172;352
662;C18H38O;1-octadecanol;7;1632;80;201;385
663;C18H38S;butyl-tetradecyl-sulfide;5;1421;206;220;452
664;C18H38S;ethyl-hexadecyl-sulfide;5;1421;206;220;452
665;C18H38S;heptadecyl-methyl-sulfide;5;1421;206;220;452
666;C18H38S;nonyl-sulfide;5;1421;206;220;452
667;C18H38S;pentadecyl-propyl-sulfide;5;1421;206;220;452
668;C18H38S;1-octadecanethiol;7;2061;129;209;397
669;C18H38S2;nonyl-disulfide;7;1982;117;215;407
670;C19H32;1-phenyltridecane;7;2014;138;193;377
671;C19H36;1-nonadecyne;8;2337;177;208;416
672;C19H38;1-nonadecene;7;1962;141;183;364
673;C19H38;1-cyclopentyltetradecane;7;1982;135;192;375
674;C19H38;1-cyclohexyltridecane;7;2012;142;191;378
675;C19H40;nonadecane;7;1933;138;184;366
676;C19H40O;1-nonadecanol;7;1632;80;274;395
677;C19H40S;butyl-pentadecyl-sulfide;5;1421;206;227;468
678;C19H40S;ethyl-heptadecyl-sulfide;5;1421;206;227;468
679;C19H40S;hexadecyl-propyl-sulfide;5;1421;206;227;468
680;C19H40S;methyl-octadecyl-sulfide;5;1421;206;227;468
681;C19H40S;1-nonadecanethiol;7;2094;124;219;409
682;C20H34;1-phenyltetradecane;7;2042;130;205;390
683;C20H38;1-eicosyne;8;2386;174;219;431
684;C20H40;1-eicosene;7;1995;136;193;378
685;C20H40;1-cyclopentylpentadecane;7;2016;128;203;388
686;C20H40;1-cyclohexyltetradecane;7;2046;135;203;392
687;C20H42;eicosane;7;2033;132;198;379
688;C20H42O;1-eicosanol;7;1699;70;219;406
689;C20H42S;butyl-hexadecyl-sulfide;5;1421;206;233;484
690;C20H42S;decyl-sulfide;5;1421;206;233;484
691;C20H42S;ethyl-octadecyl-sulfide;5;1421;206;233;484
692;C20H42S;heptadecyl-propyl-sulfide;5;1421;206;233;484
693;C20H42S;methyl-nonadecyl-sulfide;5;1421;206;233;484
694;C20H42S;1-eicosanethiol;7;2125;119;229;421
695;C20H42S2;decyl-disulfide;7;2019;103;235;429
696;C21H36;1-phenylpentadecane;7;2067;122;216;403
697;C21H42;1-cyclopentylhexadecane;7;2048;121;215;401
698;C21H42;1-cyclohexylpentadecane;7;2078;129;213;404
699;C22H38;1-phenylhexadecane;7;2095;114;227;415
700;C22H44;1-cyclohexylhexadecane;7;2099;122;224;416
